CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Duration.pupa,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,Notes
136,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,18.35,6/13/2023,79.83,16,6/17/23,16,197.78,yes,7/5/2023,114.58,18,,male,no,,,deformed wings
137,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,18.14,6/12/2023,47.12,21,6/16/2023,15,202.93,yes,6/27/2023,101.54,11,,male,yes,,,
138,BC1,6/1/2023,Elysian,plant,26C,,,6/10/2023,8.53,6/13/2023,44.07,26,6/18/23,17,192.89,yes,6/26/2023,90.51,8,,female,yes,,,
139,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,24.14,6/12/2023,57.66,30,6/16/2023,12,187.32,yes,6/23/2023,95.57,7,,male,yes,,,
140,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,16.16,6/12/2023,40.19,34,6/17/23,13,202.75,yes,6/25/2023,102.74,8,,female,no,,,deformed wings
141,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,15.45,6/13/2023,93.55,16,6/17/23,13,201.99,yes,7/5/2023,110.64,18,,female,no,,,deformed wings
142,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,24.87,6/12/2023,71.44,21,6/16/2023,12,207.18,yes,6/25/2023,118.22,9,,male,yes,,,
143,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,11.26,6/13/2023,48.24,26,6/17/23,13,195.48,yes,6/24/2023,114.34,7,,male,no,,,deformed wings
144,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,15.64,6/13/2023,97.01,30,6/17/23,13,200.05,yes,6/26/2023,173.19,9,,unknown,no,,,died trying to eclose
145,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,14.31,6/13/2023,75.1,34,6/17/23,13,194.4,yes,6/25/2023,85.48,8,,male,no,,,deformed wings
146,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,10.27,6/13/2023,37.15,16,6/18/23,13,185.56,yes,7/5/2023,126.77,17,,female,yes,,,
147,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,6.01,6/14/2023,20.42,21,6/21/2023,16,173.05,yes,7/2/23,82.04,11,,male,yes,,,
148,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,10.43,6/14/2023,72.83,26,6/18/23,13,220.5,yes,6/26/2023,116.06,8,,female,no,,,deformed wings
149,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,11.72,6/13/2023,27.84,30,6/18/23,13,158.51,yes,6/24/2023,88.68,6,,female,yes,,,
150,BC1,6/5/2023,Elysian,plant,26+-5,,,6/11/2023,18.63,6/12/2023,41.5,34,6/16/2023,11,185.49,Yes,6/24/2023,106.42,8,,female,no,,,deformed wings
151,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,12.64,6/13/2023,42.86,16,6/18/23,14,165.19,yes,,,,,,,7/6/2023,,died as pupa
152,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,15.52,6/14/2023,82.89,21,6/19/2023,15,,no,,,,,,,6/19/2023,165.82,INT
153,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,18.23,6/13/2023,43.77,26,6/19/2023,15,,no,,,,,,,6/19/2023,216.44,INT
154,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,15.67,6/13/2023,39.68,30,6/18/23,14,,no,,,,,,,6/18/2023,189.66,INT
155,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,11.29,6/14/2023,80.4,34,6/18/23,14,,yes,,,,,,,6/20/2023,,died as pupa
156,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,12.86,6/14/2023,82.36,16,6/18/23,14,180.65,yes,7/7/2023,75.89,19,,male,yes,,,
157,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.65,6/13/2023,58.05,21,6/17/23,13,175.09,yes,6/28/2023,63.45,11,,male,yes,,,
158,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,10.34,6/14/2023,52.88,26,6/18/23,14,,no,,,,,,,6/18/2023,170.44,INT
159,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,18.49,6/13/2023,64.89,30,6/16/2023,12,,no,,,,,,,6/17/23,150.51,INT
160,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,13.32,6/13/2023,57.52,34,6/17/23,13,176.85,yes,,,,,,,6/27/2023,,Died as pupa
161,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,10.75,6/14/2023,82.28,16,6/18/23,14,156.81,yes,,,,,,,7/10/2023,,I think I killed it when massing the pupa; deformed pupa
162,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.67,6/13/2023,63.01,21,6/18/23,14,127.85,yes,6/28/2023,76.01,10,,female,yes,,,
163,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,20.66,6/13/2023,91.48,26,6/16/2023,12,173.22,yes,,,,,,,6/25/2023,,died trying to eclose
164,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.7,6/13/2023,45,30,6/17/23,13,192.5,yes,6/24/2023,148.95,7,,female,no,,,deformed wings
165,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,15.61,6/13/2023,39.52,34,6/17/23,13,,no,,,,,,,6/17/2023,178.03,INt
166,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,13.88,6/14/2023,105.65,16,6/18/23,14,,no,,,,,,,6/18/2023,183.22,INT
167,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.46,6/13/2023,,21,6/17/23,13,175.25,yes,6/28/2023,103.77,11,,male,yes,,,
168,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,63.5,26,6/16/2023,12,268.72,yes,6/23/2023,142.75,7,,male,yes,,,
169,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,64.99,30,6/16/2023,12,256.78,yes,6/23/2023,206.31,7,,male,no,,,deformed wings
170,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,52.96,34,6/17/23,13,208.43,yes,6/24/2023,189.1,7,,male,no,,,deformed wings
171,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,63.73,16,6/16/2023,12,261.7,yes,07/02/2023,144.74,16,,male,yes,,,
172,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,62.49,21,6/16/2023,12,,no,,,,,,,6/17/23,232.61,INT
173,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,76.07,26,6/16/2023,12,197.47,yes,6/22/2023,135.53,6,,male,no,,,problems eclosing
174,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,59.28,30,6/16/2023,12,250.68,yes,6/23/2023,119.66,7,,male,yes,,,
175,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,70.5,34,6/16/2023,12,181.27,yes,6/22/2023,92.57,6,,male,no,,,deformed wings
176,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,43.07,16,6/16/2023,12,197.28,yes,7/3/2023,163.53,17,,female,no,,,deformed wings
177,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,84.53,21,6/16/2023,12,244.56,yes,6/27/2023,189.05,11,,male,yes,,,
178,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,68.77,26,6/16/2023,12,227.43,yes,6/23/2023,177.81,7,,male,yes,,,
179,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,56.86,30,6/16/2023,12,,no,,,,,,,6/17/23,214.28,INT
180,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/13/2023,113.09,34,6/16/2023,12,239.21,yes,6/24,131.64,8,,male,no,,,
181,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,18.57,6/13/2023,89.13,16,6/16/2023,12,227.14,yes,7/5/2023,167.58,19,,male,yes,,,
182,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.71,6/13/2023,72.67,21,6/17/23,13,236.64,yes,6/28/2023,149.37,11,,male,yes,,,
183,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.49,6/13/2023,53.61,26,6/17/23,13,178.5,yes,6/24/2023,90.41,7,,male,yes,,,
184,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,16.37,6/13/2023,75.26,30,6/16/2023,12,,no,,,,,,,6/17/23,156.18,INT
185,BC1,6/4/2023,Elysian,plant,26C,,,6/10/2023,,6/12/2023,48.44,34,6/16/2023,12,211.94,yes,,,,,,,6/25/2023,,died as pupa
186,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,17.09,6/13/2023,32.7,16,6/17/23,13,135.19,yes,7/3/2023,63.02,16,,female,yes,,,
187,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,21.54,6/13/2023,107.43,21,6/16/2023,12,213.44,yes,6/26/2023,133.32,10,,male,yes,,,
188,BC1,6/4/2023,Elysian,plant,26C,,,6/11/2023,12.03,6/14/2023,95.12,26,6/17/23,13,169.93,yes,6/24/2023,83.14,7,,male,yes,,,
189,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,9.27,6/15/2023,73.49,30,6/18/23,15,169.42,yes,6/24/2023,98.91,6,,male,yes,,,
190,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,12.38,,,34,,,,,,,,,,,6/16/2023,,problems molting
191,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,12.27,6/15/2023,83.05,16,6/20/2023,17,,no,,,,,,,6/20/2023,202.89,INT
192,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,21.54,6/14/2023,48.94,21,6/18/23,15,216.15,yes,7/1/2023,95.8,13,,male,no,,,deformed wings
193,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,10.94,6/15/2023,70.98,26,6/19/2023,16,,no,,,,,,,6/19/2023,181.86,INT
194,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,7.65,6/15/2023,45.23,30,6/19/2023,16,186.69,yes,6/26/2023,103.12,7,,female,yes,,,
195,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,20.85,6/14/2023,54.95,34,6/20/2023,17,230.89,yes,,,,,,,7/2/2023,,died as pupa
196,BC1,6/3/2023,Elysian,plant,26C,,,6/12/2023,6.12,6/15/2023,35.29,16,6/20/2023,17,,no,,,,,,,6/20/2023,174.22,INT
