"CID","SIB","Mean.Temp","Temp.Var","UniID","Date.hatch","Surv.4th","Date.4th","Time.4th","Mass.4th","Surv.5th","Date.5th","Time.5th","Mass.5th","Surv.pupa","Date.pupa","Time.pupa","Mass.pupa","PupateOk","Surv.eclose","Date.eclose","Time.eclose","EcloseOk","Sex","Mass.adult","Date.dead","Time.death","Stage.final","Notes"
122,"12",16,5,"122.12.16.5","5/14","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",1,"1",""
123,"15",16,5,"123.15.16.5","5/11","N","",NA,NA,"N","",NA,NA,"N","",NA,NA,"","N","",NA,"","",NA,"5/15",4,"1",""
124,"15",26,5,"124.15.26.5","5/9","Y","5/16",7,15.6,"Y","5/18",9,69.8,"Y","5/21",12,199.57,"Y","Y","5/28",19,"Y","M",85.9,"",NA,"adult",""
125,"8",26,5,"125.8.26.5","5/9","Y","5/16",7,16.5,"Y","5/18",9,75.2,"Y","5/23",14,211.7,"N","N","",NA,"","",NA,"5/23",14,"pupal int",""
126,"8",26,5,"126.8.26.5","5/9","Y","5/16",7,13.7,"Y","5/18",9,51.7,"Y","5/22",13,232.9,"Y","Y","5/29",20,"Y","",127,"",NA,"adult",""
127,"8",26,5,"127.8.26.5","5/11","Y","5/16",5,21.2,"Y","5/18",7,92.3,"Y","5/21",10,209.78,"Y","Y","5/28",17,"Y","M",91.7,"",NA,"adult",""
128,"12",26,5,"128.12.26.5","5/10","Y","5/16",6,9.5,"Y","5/19",9,80.2,"Y","5/25",15,242.5,"N","N","",NA,"","",NA,"5/26",16,"pupa int",""
129,"24",26,5,"129.24.26.5","5/10","Y","5/16",6,11.4,"Y","5/18",8,63.2,"Y","5/21",11,164.8,"Y","N","",NA,"","",NA,"5/29",19,"pupa",""
130,"15",26,5,"130.15.26.5","5/10","Y","5/16",6,10.7,"Y","5/18",8,56.7,"Y","5/22",12,274.7,"Y","Y","5/29",19,"N","M",202.1,"",NA,"adult","deformed adult"
131,"15",26,5,"131.15.26.5","5/10","Y","5/16",6,8.5,"Y","5/18",8,37.4,"Y","5/22",12,230.6,"Y","Y","5/29",19,"","F",108.5,"",NA,"adult",""
132,"8",26,5,"132.8.26.5","5/10","Y","5/16",6,21.8,"Y","5/18",8,96.2,"Y","5/21",11,234.02,"Y","N","",NA,"","",NA,"5/29",19,"pupa",""
133,"8",26,5,"133.8.26.5","5/10","Y","5/16",6,20.4,"Y","5/18",8,88.7,"Y","5/21",11,215.92,"Y","Y","5/28",18,"N","F",141.1,"",NA,"adult","deformed adult"
134,"15",26,5,"134.15.26.5","5/9","Y","5/16",7,22.5,"Y","5/18",9,108.4,"Y","5/21",12,227.08,"Y","Y","5/28",19,"","M",102.5,"",NA,"adult",""
135,"15",26,5,"135.15.26.5","5/9","Y","5/16",7,15.8,"Y","5/18",9,49.3,"Y","5/21",12,196.6,"Y","Y","5/28",19,"","M",82.5,"",NA,"adult",""
136,"8",26,5,"136.8.26.5","5/9","Y","5/16",7,8.3,"Y","5/18",9,37.8,"Y","5/22",13,215.7,"Y","Y","5/29",20,"N","M",137.2,"",NA,"adult","deformed adult"
137,"8",26,5,"137.8.26.5","5/9","Y","5/16",7,9.8,"Y","5/18",9,43.9,"Y","5/22",13,216.7,"Y","Y","5/29",20,"N","F",103.7,"",NA,"adult","deformed adult"
138,"15",26,5,"138.15.26.5","5/10","Y","5/16",6,8.6,"Y","5/18",8,50.6,"Y","5/23",13,211.2,"N","N","",NA,"","",NA,"5/23",13,"pupal int",""
139,"3",30,5,"139.3.30.5","5/11","Y","5/16",5,11.1,"Y","5/18",7,58.3,"Y","5/21",10,196.5,"Y","Y","5/28",17,"N","F",205.3,"",NA,"adult","Spent 5/13 in 26 chamber; deformed adult/didn't eclose properly"
140,"3",30,5,"140.3.30.5","5/10","Y","5/16",6,14.7,"Y","5/18",8,62.7,"Y","5/21",11,177,"Y","Y","5/27",17,"Y","F",85.2,"",NA,"adult","Spent 5/13 in 26 chamber"
141,"15",30,5,"141.15.30.5","5/10","Y","5/16",6,27.2,"Y","5/17",7,47.5,"Y","5/22",12,184.3,"N","N","",NA,"","",NA,"5/23",13,"pupal int","Spent 5/13 in 26 chamber"
142,"15",30,5,"142.15.30.5","5/10","Y","5/16",6,26.4,"Y","5/17",7,45.8,"Y","5/20",10,179.2,"Y","Y","5/26",16,"N","M",119.6,"",NA,"adult","Spent 5/13 in 26 chamber; deformed adult"
143,"15",30,5,"143.15.30.5","5/10","Y","5/16",6,10.1,"Y","5/18",8,60.1,"Y","5/21",11,184.1,"Y","Y","5/28",18,"Y","F",85.7,"",NA,"","Spent 5/13 in 26 chamber"
