CID,SIB,Mean.Temp,Temp.Var,UniID,Date.hatch,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,PupateOk,Surv.eclose,Date.eclose,Time.eclose,EcloseOk,Sex,Mass.adult,Date.dead,Time.death,Stage.final,Notes
250,12,34,5,250.12.34.5,5/14,,5/20,6,15.4,,5/22,8,33.4,,5/27,13,106.3,Y,,,,,,,6/4,21,pupa,
262,3,34,5,262.3.34.5,5/14,,5/21,7,10.1,,5/24,10,57.1,,5/28,14,167.1,Y,,,,,,,6/8,25,pupa,
263,3,34,5,263.3.34.5,5/14,,5/21,7,12.9,,5/23,9,39.8,,5/28,14,144.3,Y,,,,,,,6/5,22,pupa,
264,M1,34,5,264.M1.34.5,5/14,,5/21,7,14.9,,5/24,10,53,,5/28,14,147.8,Y,,,,,,,6/8,25,pupa,
288,M2,26,5,288.M2.26.5,5/14,,,,,,5/22,8,52.59,,5/26,12,172.8,Y,,,,,,,6/2,19,pupa,Missed 4th?
301,m1,21,5,301.m1.21.5,5/14,,5/22,8,5.5,,5/26,12,31.7,,6/2,19,160.6,Y,,,,,,,7/2,,pupa,
379,3,16,5,379.3.16.5,5/15,,6/1,17,6.9,,6/9,25,53.8,,6/22,38,211.6,Y,,,,,,,7/3,49,pupa,
71,15,30,5,71.15.30.5,5/9,,5/14,5,22,,5/16,7,100.2,,5/19,10,202.8,Y,,5/26,17,Y,F,88.2,,,adult,
72,15,30,5,72.15.30.5,5/9,,5/14,5,12.9,,5/16,7,56.3,,5/20,11,246.5,Y,,5/27,18,Y,M,124.4,,,adult,
74,8,30,5,74.8.30.5,5/9,,5/14,5,15.5,,5/16,7,89.9,,5/19,10,182.9,Y,,5/25,16,N,M,78.6,,,adult,Deformed adult
76,15,30,5,76.15.30.5,5/9,,5/14,5,11.8,,5/16,7,49.2,,5/19,10,175.4,Y,,5/25,16,Y,F,79.6,,,adult,
78,8,30,5,78.8.30.5,5/9,,5/14,5,8.7,,5/16,7,47.2,,5/20,11,196.6,Y,,5/27,18,N,F,107.8,,,adult,deformed adult
79,8,30,5,79.8.30.5,5/9,,5/14,5,12.2,,5/16,7,44.9,,5/20,11,209.6,Y,,5/27,18,Y,M,104.5,,,adult,
89,15,26,5,89.15.26.5,5/9,,5/14,5,8,,5/16,7,38.4,,5/21,12,202.3,Y,,5/27,18,Y,F,138.3,,,adult,
90,8,26,5,90.8.26.5,5/9,,5/15,6,9.1,,5/17,8,43.9,,5/21,12,215.4,Y,,5/28,19,Y,M,99.8,,,adult,
92,8,26,5,92.8.26.5,5/9,,5/15,6,14.8,,5/17,8,66.5,,5/21,12,205.41,Y,,5/27,18,Y,M,106.7,,,adult,
95,15,26,5,95.15.26.5,5/9,,5/15,6,20.1,,5/17,8,68.5,,5/21,12,214,Y,,5/27,18,Y,M,98.2,,,adult,
96,15,26,5,96.15.26.5,5/9,,5/15,6,10.5,,5/17,8,42.8,,5/21,12,218.9,Y,,5/28,19,Y,F,105.8,,,adult,
98,8,26,5,98.8.26.5,5/9,,5/15,6,12.1,,5/17,8,43.1,,5/21,12,205.5,Y,,5/28,19,Y,M,96.7,,,adult,
103,15,30,5,103.15.30.5,5/10,,5/15,5,10.5,,5/17,7,65.4,,5/20,10,185.4,Y,,5/26,16,Y,F,122.5,,,adult,
104,15,30,5,104.15.30.5,5/10,,5/15,5,12.1,,5/17,7,57.2,,5/20,10,165.4,Y,,5/27,17,Y,F,74.8,,,adult,
105,8,30,5,105.8.30.5,5/9,,5/15,6,16.4,,5/17,8,64.4,,5/20,11,198.6,Y,,5/27,18,Y,F,100.7,,,adult,
108,15,30,5,108.15.30.5,5/10,,5/15,5,9.2,,5/17,7,48.7,,5/20,10,195.3,Y,,5/26,16,Y,F,87,,,adult,spent 5/13 in 26 chamber
109,15,30,5,109.15.30.5,5/10,,5/15,5,6.7,,5/18,8,93.2,,5/21,11,190,Y,,5/27,17,Y,F,105.9,,,adult,spent 5/13 in 26 chamber
110,8,30,5,110.8.30.5,5/9,,5/15,6,17.5,,5/17,8,113.6,,5/20,11,209.1,Y,,5/26,17,N,M,171.4,,,adult,deformed adult
112,15,30,5,112.15.30.5,5/9,,5/15,6,14.8,,5/17,8,92.1,,5/20,11,207.4,Y,,5/26,17,Y,M,104.5,,,adult,spent 5/13 in 26 chamber
113,15,30,5,113.15.30.5,5/10,,5/15,5,9.2,,5/17,7,45.1,,5/20,10,162.3,Y,,5/27,17,Y,F,78.6,,,adult,spent 5/13 in 26 chamber
116,15,30,5,116.15.30.5,5/11,,5/15,4,10.8,,5/17,6,49.5,,5/20,9,175.6,Y,,5/26,15,N,M,102.7,,,adult,deformed adult
124,15,26,5,124.15.26.5,5/9,,5/16,7,15.6,,5/18,9,69.8,,5/21,12,199.57,Y,,5/28,19,Y,M,85.9,,,adult,
126,8,26,5,126.8.26.5,5/9,,5/16,7,13.7,,5/18,9,51.7,,5/22,13,232.9,Y,,5/29,20,Y,,127,,,adult,
127,8,26,5,127.8.26.5,5/11,,5/16,5,21.2,,5/18,7,92.3,,5/21,10,209.78,Y,,5/28,17,Y,M,91.7,,,adult,
