CID,Sib Group,Date.hatch,Location,Hatched.on,Rearing.temp,Date.2nd,Date.3rd ,Date.4th,Mass.4th,Date.5th,Mass.5th,Treatment,Date.pupate,Time.pupa,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,DaysPtoE,Surv.eclose,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP
076,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,15.17,6/10/2023,71.61,16,6/14/2023,14,232.77,Yes,7/1/2023,182.24,17,,male,Yes,,,14
077,BC1,5/31/2023,Elysian,plant,26C,,,6/8/2023,17.62,6/10/2023,64.58,21,6/14/2023,14,232.66,Yes,6/25/2023,121.97,11,,male,Yes,,,14
079,BC1,6/1/2023,Elysian,plate,26C,,,6/8/2023,9.2,6/11/2023,35.91,30,6/16/2023,15,196.51,Yes,6/23/2023,98.02,7,,male,Yes,,,15
080,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,10.54,6/10/2023,45.18,34,6/14/2023,11,166.94,Yes,,,,,,,7/11/2023,,11
081,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,19.97,6/10/2023,79.11,16,6/14/2023,11,223.62,Yes,7/3/2023,136.71,19,,male,Yes,,,11
082,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,15.58,6/10/2023,52.25,21,6/14/2023,11,,No,,,,,,,6/14/2023,154.5,11
083,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,25.12,6/10/2023,76.26,26,6/14/2023,11,156.46,Yes,6/21/2023,72.49,7,,male,Yes,,,11
084,BC1,6/3/2023,Elysian,plant,26C,,,6/8/2023,14.4,6/10/2023,64.83,30,6/14/2023,11,228.8,Yes,6/20/2023,118.25,6,,male,Yes,,,11
085,BC1,6/2/2023,Elysian,diet,26C,,,6/9/2023,11.02,6/12/2023,50.45,34,6/16/2023,14,141.54,Yes,,,,,,,6/24/2023,,14
086,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,17.24,6/11/2023,37.1,16,6/15/2023,14,,No,,,,,,,6/15/2023,184.55,14
087,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,18.31,6/11/2023,40.18,21,6/16/2023,15,212.58,Yes,,,,,,,7/4/2023,,15
088,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,19.23,6/11/2023,40.38,26,6/16/2023,15,,No,,,,,,,6/17/23,199.3,15
089,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,15.62,6/11/2023,37.81,30,6/16/2023,15,174.35,Yes,6/22/2023,103.35,6,,Female,Yes,,,15
090,BC1,6/1/2023,Elysian,plant,26C,,,6/9/2023,9.35,6/12/2023,53.52,34,6/16/2023,15,140.91,Yes,6/24/2023,54.62,8,,male,Yes,,,15
091,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,17.19,6/11/2023,43.62,16,6/15/2023,12,218.76,Yes,7/4,144.44,19,,female,Yes,,,12
092,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,11.35,6/12/2023,69.83,21,6/16/2023,13,,No,,,,,,,6/17/23,218.89,13
093,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,12.66,6/11/2023,39.91,26,6/15/2023,12,225.93,Yes,6/23/2023,87.91,8,,male,Yes,,,12
094,BC1,6/3/2023,Elysian,plant,26C,,,6/9/2023,15.79,6/11/2023,38.53,30,6/16/2023,13,178.6,Yes,,,,,,,6/25/2023,,13
