CID,Sib,Hatch.loc,Mean.temp,Hatch.date,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Time.dead,Ntes
102,Colony,leaf,34,6/29/2023,7/4/2023,,7/7/2023,8,15.72,,7/10/2023,11,56.87,,7/16/2023,17,104.52,Y,,,,,,,7/20/2023,21,died as pupa
103,Colony,leaf,34,6/29/2023,7/4/2023,,7/8/2023,9,18.91,,7/11/2023,12,67.23,,7/13/2023,14,65.27,N,,,,,,,7/13/2023,14,INT
104,Colony,leaf,34,6/29/2023,7/4/2023,,7/8/2023,9,7.34,,,,,,,,,,,,,,,,7/9/2023,10,
105,Colony,leaf,34,6/29/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/14/2023,15,
106,Colony,leaf,34,6/29/2023,7/4/2023,,7/7/2023,8,13.91,,,,,,,,,,,,,,,,7/14/2023,15,Accidentally killed it
107,Colony,leaf,34,6/29/2023,7/4/2023,,7/6/2023,7,6.72,,,,,,,,,,,,,,,,7/9/2023,10,
108,Colony,leaf,34,6/29/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/14/2023,15,
109,Colony,leaf,16,6/23/23,7/4/2023,,7/10/2023,17,7.94,,7/17/2023,24,41.13,,7/29/2023,36,174.65,N,,,,,,,7/29/2023,36,INT
110,Colony,leaf,16,6/21/2023,7/4/2023,,7/10/2023,19,9.19,,7/16/2023,25,45.98,,7/28/2023,37,217.4,N,,,,,,,7/28/2023,37,INT
111,Colony,leaf,16,6/21/2023,7/4/2023,,7/10/2023,19,10.8,,7/18/2023,27,40.02,,8/1/2023,41,187.25,Y,,,,,,,8/18/2023,58,died as pupa
112,Perrywinkle,leaf,16,6/26/2023,7/4/2023,,7/9/2023,13,10.12,,7/15/2023,19,34.34,,7/28/2023,32,212.03,N,,,,,,,7/28/2023,32,INT
113,Perrywinkle,leaf,16,6/26/2023,7/4/2023,,7/9/2023,13,10.65,,7/17/2023,21,41.51,,8/1/2023,36,168.93,Y,,8/18/2023,53,123.72,male,Y,,,
114,Perrywinkle,leaf,16,6/20/2023,7/4/2023,,7/11/2023,21,8.71,,7/19/2023,29,36.93,,7/30/2023,40,211.25,N,,,,,,,7/30/2023,40,INT
115,Perrywinkle,leaf,16,6/20/2023,7/4/2023,,7/9/2023,19,10.35,,7/16/2023,26,60.47,,7/28/2023,38,198.79,Y,,,,,,,8/30/2023,71,died as pupa
116,Perrywinkle,leaf,21,6/27/2023,7/4/2023,,7/9/2023,12,6.83,,7/14/2023,17,43.31,,7/22/2023,25,171.02,Y,,,,,,,7/31/2023,34,died as pupa
117,Colony,leaf,21,6/26/2023,7/4/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,10,
118,Colony,leaf,21,6/26/2023,7/4/2023,,7/8/2023,12,11.78,,7/14/2023,18,61.25,,7/21/23,25,153.4,Y,,8/1/2023,36,59.19,male,Y,,,
119,Colony,leaf,16,6/25/2023,7/5/2023,,,,,,,,,,,,,,,,,,,,7/6/2023,11,
120,Colony,leaf,16,6/26/2023,7/5/2023,,7/10/2023,14,8.15,,7/16/2023,20,49.47,,7/29/2023,33,229.44,N,,,,,,,7/29/2023,33,INT
121,Perrywinkle,leaf,16,6/21/2023,7/5/2023,,7/12/2023,21,9.54,,7/21/23,30,30.98,,8/4/2023,44,164.44,N,,,,,,,8/4/2023,44,INT
122,Perrywinkle,leaf,16,6/21/2023,7/5/2023,,7/11/2023,20,10.16,,7/20/2023,29,48.49,,7/31/2023,40,176.23,N,,,,,,,7/31/2023,40,INT
123,Colony,leaf,16,6/26/2023,7/5/2023,,7/10/2023,14,8.3,,7/18/2023,22,39.86,,7/31/2023,35,212.46,N,,,,,,,7/31/2023,35,INT
124,Perrywinkle,leaf,21,6/27/2023,7/5/2023,,7/10/2023,13,8.66,,7/16/2023,19,33.88,,7/27/2023,30,133.49,N,,,,,,,7/27/2023,30,INT
