"","Treatment","PupateOK","Mass.pupa","Surv.adult","Time.eclose","Mass.adult","Sex","Eclose.ok","Expt","Population","Type"
"3710","30","Yes","175.36","Yes","7","86.43","male","Yes","CA","CA","Larval"
"3810","30","Yes","180.45","No",NA,NA,"","","CA","CA","Larval"
"3910","30","Yes","169.16","Yes","7","85.39","male","Yes","CA","CA","Larval"
"4010","30","Yes","181.14","Yes","7","116.46","female","Yes","CA","CA","Larval"
"4210","30","Yes","139.81","Yes","6","66.57","female","Yes","CA","CA","Larval"
"4410","30","Yes","185.54","No",NA,NA,"","","CA","CA","Larval"
"4510","30","Yes","168.65","Yes","7","68.43","male","No","CA","CA","Larval"
"4610","30","Yes","160.92","Yes","6","118.9","male","Yes","CA","CA","Larval"
"4810","30","Yes","184.34","No",NA,NA,"","","CA","CA","Larval"
"4910","30","Yes","141.39","Yes","6","102.35","female","Yes","CA","CA","Larval"
"5010","30","Yes","163.71","Yes","6","102.24","male","Yes","CA","CA","Larval"
"5110","30","Yes","156.77","No",NA,NA,"","","CA","CA","Larval"
"561","21","Yes","213.76","Yes","12",NA,"male","Yes","CA","CA","Larval"
"571","26","Yes","147.66","No",NA,NA,"","","CA","CA","Larval"
"591","26","Yes","151.17","Yes","8","59.78","male","No","CA","CA","Larval"
"611","26","Yes","203.43","Yes","8","124.69","male","No","CA","CA","Larval"
"631","26","Yes","197.16","Yes","7","94.76","male","Yes","CA","CA","Larval"
"641","26","Yes","154.78","No",NA,NA,"","","CA","CA","Larval"
"651","26","Yes","161.36","No",NA,NA,"","","CA","CA","Larval"
"661","26","Yes","137.16","Yes","10","34.25","female","No","CA","CA","Larval"
"671","26","Yes","164.07","Yes","7","72.73","male","Yes","CA","CA","Larval"
"691","26","Yes","182.13","No",NA,NA,"","","CA","CA","Larval"
"701","26","Yes","194.19","Yes","7","116.27","male","Yes","CA","CA","Larval"
"711","30","Yes","173.47","No",NA,NA,"","","CA","CA","Larval"
"721","30","Yes","165.69","No",NA,NA,"","","CA","CA","Larval"
"731","30","Yes","162.18","Yes","8","84.21","female","No","CA","CA","Larval"
"751","34","Yes","139.01","Yes","7","102.48","female","No","CA","CA","Larval"
"791","34","Yes","113.51","No",NA,NA,"","","CA","CA","Larval"
"801","34","Yes","103.65","No",NA,NA,"","","CA","CA","Larval"
"821","34","Yes","106.49","No",NA,NA,"","","CA","CA","Larval"
"831","34","Yes","142.31","No",NA,NA,"","","CA","CA","Larval"
"851","34","Yes","113.16","No",NA,NA,"","","CA","CA","Larval"
"871","34","Yes","80.95","No",NA,NA,"","","CA","CA","Larval"
"881","30","Yes","170.13","Yes","7","86.74","male","Yes","CA","CA","Larval"
"891","30","Yes","154.76","Yes","7","88.22","female","Yes","CA","CA","Larval"
"911","30","Yes","165.39","No",NA,NA,"","","CA","CA","Larval"
"921","30","Yes","174.78","No",NA,NA,"","","CA","CA","Larval"
"931","30","Yes","175.94","Yes","7","85.66","male","Yes","CA","CA","Larval"
"941","30","Yes","174.64","Yes","7","85.04","male","Yes","CA","CA","Larval"
"961","26","Yes","187.01","Yes","8","91.16","male","Yes","CA","CA","Larval"
"971","26","Yes","204.38","Yes","8","97.92","male","Yes","CA","CA","Larval"
