"","CID","Treatment","Age.death","Surv.pupa","PupateOK","Age.pupa","Mass.pupa","Expt"
"206",200,34,18,"N","",NA,NA,"NC"
"207",205,34,22,"N","",NA,NA,"NC"
"208",213,34,17,"N","",NA,NA,"NC"
"209",216,34,19,"N","",NA,NA,"NC"
"210",247,34,17,"N","",NA,NA,"NC"
"211",251,34,21,"N","",NA,NA,"NC"
"212",252,34,25,"N","",NA,NA,"NC"
"213",255,34,15,"N","",NA,NA,"NC"
"214",282,26,19,"N","",NA,NA,"NC"
"215",284,26,16,"N","",NA,NA,"NC"
"216",285,26,17,"N","",NA,NA,"NC"
"217",302,21,20,"N","",NA,NA,"NC"
"218",303,21,19,"N","",NA,NA,"NC"
"219",307,21,21,"N","",NA,NA,"NC"
"220",308,21,35,"N","",NA,NA,"NC"
"221",309,21,38,"N","",NA,NA,"NC"
"222",310,21,22,"N","",NA,NA,"NC"
"223",311,21,19,"N","",NA,NA,"NC"
"224",313,21,21,"N","",NA,NA,"NC"
"225",314,21,20,"N","",NA,NA,"NC"
"226",318,21,38,"N","",NA,NA,"NC"
"227",329,21,35,"N","",NA,NA,"NC"
"228",333,16,41,"N","",NA,NA,"NC"
"229",334,16,31,"N","",NA,NA,"NC"
"230",344,16,31,"N","",NA,NA,"NC"
"231",350,16,34,"N","",NA,NA,"NC"
"232",356,16,32,"N","",NA,NA,"NC"
"233",358,16,34,"N","",NA,NA,"NC"
"234",365,16,31,"N","",NA,NA,"NC"
"235",370,16,51,"N","",NA,NA,"NC"
"236",374,16,45,"N","",NA,NA,"NC"
"237",377,16,33,"N","",NA,NA,"NC"
"238",380,16,40,"N","",NA,NA,"NC"
"239",381,16,38,"N","",NA,NA,"NC"
"240",383,16,37,"N","",NA,NA,"NC"
"241",386,16,51,"N","",NA,NA,"NC"
"242",387,16,49,"N","",NA,NA,"NC"
"243",178,30,11,"N","",NA,NA,"NC"
"244",207,34,14,"N","",NA,NA,"NC"
"245",245,34,15,"N","",NA,NA,"NC"
"246",246,34,10,"N","",NA,NA,"NC"
"247",254,34,11,"N","",NA,NA,"NC"
"248",261,34,21,"N","",NA,NA,"NC"
"249",296,34,10,"N","",NA,NA,"NC"
"250",297,34,11,"N","",NA,NA,"NC"
"251",298,34,17,"N","",NA,NA,"NC"
"252",299,34,17,"N","",NA,NA,"NC"
"253",305,34,17,"N","",NA,NA,"NC"
"254",320,21,11,"N","",NA,NA,"NC"
"255",323,34,13,"N","",NA,NA,"NC"
"256",362,21,38,"N","",NA,NA,"NC"
"257",378,16,25,"N","",NA,NA,"NC"
"258",189,26,7,"N","",NA,NA,"NC"
"259",208,34,7,"N","",NA,NA,"NC"
"260",294,34,8,"N","",NA,NA,"NC"
"261",384,16,20,"N","",NA,NA,"NC"
"262",388,16,30,"N","",NA,NA,"NC"
"263",77,30,5,"N","",NA,NA,"NC"
"264",172,34,8,"N","",NA,NA,"NC"
"265",173,34,8,"N","",NA,NA,"NC"
"266",181,30,4,"N","",NA,NA,"NC"
"267",191,26,8,"N","",NA,NA,"NC"
"268",202,34,4,"N","",NA,NA,"NC"
"269",206,34,7,"N","",NA,NA,"NC"
"270",295,34,8,"N","",NA,NA,"NC"
"271",322,16,12,"N","",NA,NA,"NC"
"272",345,16,13,"N","",NA,NA,"NC"
"273",351,16,14,"N","",NA,NA,"NC"
"274",1,26,1,"N","",NA,NA,"NC"
"275",2,26,1,"N","",NA,NA,"NC"
"276",3,26,1,"N","",NA,NA,"NC"
"277",4,26,1,"N","",NA,NA,"NC"
"278",5,26,1,"N","",NA,NA,"NC"
"279",6,26,1,"N","",NA,NA,"NC"
"280",7,26,1,"N","",NA,NA,"NC"
"281",10,30,1,"N","",NA,NA,"NC"
"282",11,30,1,"N","",NA,NA,"NC"
"283",12,30,1,"N","",NA,NA,"NC"
"284",13,30,1,"N","",NA,NA,"NC"
"285",14,30,1,"N","",NA,NA,"NC"
"286",15,30,1,"N","",NA,NA,"NC"
