"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Sex","Population","Type"
"1081",21,19,31,"Yes","Yes","99.59","Yes","female","CA","Larval"
"1092",21,18,32,"Yes","No","146.7","Yes","","CA","Larval"
"1113",34,11,NA,"Yes","","","No","","CA","Larval"
"1122",34,14,NA,"Yes","","","No","","CA","Larval"
"1152",30,11,18,"Yes","Yes","79.09","Yes","female","CA","Larval"
"1162",30,12,19,"Yes","No","72.03","Yes","male","CA","Larval"
"1171",30,14,20,"Yes","Yes","97.05","Yes","male","CA","Larval"
"1182",30,14,19,"Yes","No","97.85","Yes","female","CA","Larval"
"1191",30,12,18,"Yes","Yes","113.24","Yes","female","CA","Larval"
"1252",26,16,23,"Yes","Yes","74.32","Yes","female","CA","Larval"
"1262",21,19,30,"Yes","Yes","112.97","Yes","male","CA","Larval"
"1272",21,20,NA,"Yes","No","","No","","CA","Larval"
"1282",21,20,33,"Yes","Yes","51.52","Yes","female","CA","Larval"
"1313",21,19,31,"Yes","Yes","103.18","Yes","female","CA","Larval"
"1322",21,20,31,"Yes","Yes","103.38","Yes","female","CA","Larval"
"1341",21,21,32,"Yes","Yes","111.9","Yes","male","CA","Larval"
"1362",21,21,NA,"Yes","","","No","","CA","Larval"
"1371",21,20,31,"Yes","Yes","136.05","Yes","female","CA","Larval"
"1381",21,21,31,"Yes","Yes","104.33","Yes","male","CA","Larval"
"1402",21,24,35,"Yes","Yes","97.42","Yes","male","CA","Larval"
"1421",21,18,NA,"Yes","","","No","","CA","Larval"
"1513",30,12,18,"Yes","Yes","82.81","Yes","female","CA","Larval"
"1522",30,14,20,"Yes","No","98.18","Yes","male","CA","Larval"
"1532",30,14,20,"Yes","Yes","84.56","Yes","male","CA","Larval"
"1541",30,14,22,"Yes","No","43.76","Yes","female","CA","Larval"
"1561",30,13,19,"Yes","Yes","82.12","Yes","female","CA","Larval"
"1571",30,13,18,"Yes","Yes","77.42","Yes","female","CA","Larval"
"1601",21,19,30,"Yes","Yes","90.07","Yes","female","CA","Larval"
"1611",21,19,30,"Yes","Yes","107.52","Yes","male","CA","Larval"
"1621",21,20,31,"Yes","No","115.78","Yes","female","CA","Larval"
"1641",26,15,NA,"Yes","","","No","","CA","Larval"
"1661",26,13,NA,"Yes","","","No","","CA","Larval"
"1671",26,13,20,"Yes","Yes","76.13","Yes","female","CA","Larval"
"1681",30,12,19,"Yes","Yes","77.84","Yes","female","CA","Larval"
"1691",30,13,19,"Yes","Yes","87.25","Yes","female","CA","Larval"
"1711",30,11,17,"Yes","No","88.64","Yes","female","CA","Larval"
"1721",30,12,NA,"Yes","","","No","","CA","Larval"
"1731",30,13,20,"Yes","No","78.09","Yes","female","CA","Larval"
"1741",30,11,17,"Yes","Yes","72.84","Yes","male","CA","Larval"
"1751",30,12,18,"Yes","Yes","84.42","Yes","male","CA","Larval"
"1871",16,34,50,"Yes","Yes","79.3","Yes","female","CA","Larval"
"1891",21,20,30,"Yes","Yes","94.48","Yes","female","CA","Larval"
"1931",21,21,32,"Yes","Yes","111.24","Yes","male","CA","Larval"
"1941",21,19,31,"Yes","Yes","96.51","Yes","male","CA","Larval"
"1951",21,23,NA,"Yes","","","No","","CA","Larval"
"1961",21,24,34,"Yes","Yes","97.81","Yes","female","CA","Larval"
"1971",21,24,34,"Yes","Yes","92.82","Yes","female","CA","Larval"
"1981",21,22,32,"Yes","Yes","151.76","Yes","male","CA","Larval"
"1991",21,22,33,"Yes","Yes","81.77","Yes","male","CA","Larval"
"2011",21,20,31,"Yes","Yes","98.03","Yes","male","CA","Larval"
"203",26,14,NA,"Yes","","","No","","CA","Larval"
"205",26,17,25,"Yes","Yes","70.5","Yes","female","CA","Larval"
"208",21,20,NA,"Yes","","","No","","CA","Larval"
"214",21,21,32,"Yes","Yes","119.96","Yes","male","CA","Larval"
"215",21,20,30,"Yes","Yes","104.31","Yes","female","CA","Larval"
"216",26,18,26,"Yes","Yes","81.22","Yes","male","CA","Larval"
"217",26,20,28,"Yes","Yes","78.27","Yes","female","CA","Larval"
"218",26,16,NA,"Yes","","","No","","CA","Larval"
"223",16,28,NA,"Yes","","","No","","CA","Larval"
"224",16,32,48,"Yes","","161.25","Yes","","CA","Larval"
"226",16,29,48,"Yes","Yes","121.76","Yes","male","CA","Larval"
"228",30,14,20,"Yes","Yes","103.2","Yes","male","CA","Larval"
"229",30,14,20,"Yes","Yes","95.61","Yes","female","CA","Larval"
"232",34,12,NA,"Yes","","","No","","CA","Larval"
"235",16,31,50,"Yes","No","123.29","Yes","male","CA","Larval"
"236",16,31,48,"Yes","Yes","86.28","Yes","female","CA","Larval"
"237",16,30,NA,"Yes","","","No","","CA","Larval"
"239",30,16,NA,"Yes","","","No","","CA","Larval"
"240",30,13,19,"Yes","Yes","77.51","Yes","male","CA","Larval"
"2411",30,13,19,"Yes","Yes","95.36","Yes","female","CA","Larval"
"242",30,9,NA,"Yes","","","No","","CA","Larval"
"243",21,23,34,"Yes","Yes","76.44","Yes","female","CA","Larval"
"244",21,20,31,"Yes","Yes","79.69","Yes","male","CA","Larval"
"246",21,22,34,"Yes","Yes","93.98","Yes","female","CA","Larval"
"248",21,24,35,"Yes","Yes","57.52","Yes","female","CA","Larval"
"249",16,35,36,"Yes","Yes","162.63","Yes","female","CA","Larval"
"250",16,38,64,"Yes","Yes","137.3","Yes","female","CA","Larval"
"253",16,33,NA,"Yes","","","No","","CA","Larval"
"254",16,29,55,"Yes","No","114.47","Yes","male","CA","Larval"
"256",16,32,NA,"Yes","","","No","","CA","Larval"
"257",16,31,NA,"Yes","","","No","","CA","Larval"
"258",30,11,17,"Yes","No","99.71","Yes","female","CA","Larval"
"259",30,10,NA,"Yes","","","No","","CA","Larval"
"260",30,12,19,"Yes","Yes","75.54","Yes","male","CA","Larval"
"2611",30,10,15,"Yes","Yes","71.21","Yes","female","CA","Larval"
"262",30,10,NA,"Yes","","","No","","CA","Larval"
"263",30,10,16,"Yes","No","150.05","Yes","female","CA","Larval"
"264",21,26,37,"Yes","Yes","80.77","Yes","female","CA","Larval"
"265",21,24,35,"Yes","Yes","82.87","Yes","male","CA","Larval"
"266",21,23,34,"Yes","Yes","107.26","Yes","female","CA","Larval"
"268",21,18,NA,"Yes","","","No","","CA","Larval"
"269",21,18,29,"Yes","Yes","135.13","Yes","male","CA","Larval"
"270",30,13,20,"Yes","No","77.36","Yes","male","CA","Larval"
"2711",30,10,16,"Yes","No","86.97","Yes","female","CA","Larval"
"272",30,10,16,"Yes","Yes","61.55","Yes","male","CA","Larval"
"273",30,10,NA,"Yes","","","No","","CA","Larval"
"274",30,10,16,"Yes","No","97.22","Yes","female","CA","Larval"
"275",30,10,16,"Yes","No","98.23","Yes","male","CA","Larval"
"276",30,11,NA,"Yes","","","No","","CA","Larval"
"277",30,11,17,"Yes","No","101.94","Yes","female","CA","Larval"
"278",30,12,19,"Yes","","65.14","Yes","female","CA","Larval"
"279",30,11,17,"Yes","Yes","90.34","Yes","female","CA","Larval"
"280",30,13,20,"Yes","Yes","75.13","Yes","female","CA","Larval"
"2811",30,12,18,"Yes","Yes","76.84","Yes","male","CA","Larval"
"287",16,31,47,"Yes","Yes","117.84","Yes","female","CA","Larval"
"293",16,30,NA,"Yes","","","No","","CA","Larval"
"295",16,30,NA,"Yes","","","No","","CA","Larval"
"297",16,41,58,"Yes","Yes","122.32","Yes","female","CA","Larval"
"300",16,33,49,"Yes","Yes","113.3","Yes","female","CA","Larval"
"302",16,38,56,"Yes","Yes","110.08","Yes","male","CA","Larval"
"303",16,36,60,"Yes","No","120.86","Yes","female","CA","Larval"
