CID,Treatment,Surv.4th,Time.4th,Mass.4th,Surv.5th,Time.5th,Mass.5th,Age.death,Surv.pupa,PupateOK,Age.pupa,Mass.pupa,Surv.adult,Time.eclose,Mass.adult,Sex,Eclose.ok,Expt,Population,Dish_num,Mass.larvapupa-int,Date.hatch,Date.4th,Date.5th,Date.pupa,Date.eclose,Date.dead
89,30,,,,,,,20.00,,,,,,,,,,WA1,WA,5,,11/18/2022,,,,,12/8/22
90,34,,10.00,88.34,,12.00,145.36,,,Yes,13.00,116.97,Yes,8,133.07,F,No,WA1,WA,5,,11/18/2022,11/28/22,11/30/22,12/1/2022,12/9/2022,
91,16,,,,,,,3.00,,,,,,,,,,WA1,WA,5,,11/18/2022,,,,,11/21/22
92,26,,9.00,56.02,,11.00,192.97,22.00,,Yes,13.00,181.45,No,,,,,WA1,WA,6,,11/18/2022,11/27/22,11/29/22,12/1/2022,,12/10/22
93,21,,,,,,,1.00,,,,,,,,,,WA1,WA,6,,11/18/2022,,,,,11/19/22
94,30,,9.00,128.56,,11.00,209.09,,,Yes,12.00,187.76,Yes,8,78.74,F,Yes,WA1,WA,7,,11/18/2022,11/27/22,11/29/22,11/30/2022,12/8/2022,
95,34,,,,,,,6.00,,,,,,,,,,WA1,WA,7,,11/18/2022,,,,,11/24/22
96,16,,25.00,152.22,,27.00,234.45,,,No,32.00,226.33,No,,,,,WA1,WA,7,226.33,11/18/2022,12/13/22,12/15/22,12/20/2022,,
97,21,,,,,,,4.00,,,,,,,,,,WA1,WA,8,,11/18/2022,,,,,11/22/22
98,26,,10.00,93.82,,12.00,199.9,,,Yes,13.00,180.53,Yes,7,72.88,F,Yes,WA1,WA,8,,11/18/2022,11/28/22,11/30/22,12/1/2022,12/8/2022,
99,30,,8.00,53.26,,9.00,172.34,,,Yes,11.00,174.22,Yes,6,85.18,F,Yes,WA1,WA,9,,11/18/2022,11/26/22,11/27/22,11/29/2022,12/5/2022,
100,34,,,,,,,1.00,,,,,,,,,,WA1,WA,9,,11/18/2022,,,,,11/19/22
101,16,,25.00,53.44,,29.00,218.36,62.00,,Yes,35.00,208.6,No,,,,,WA1,WA,9,,11/18/2022,12/13/22,12/17/22,12/23/2022,,1/19/23
102,21,,14.00,174.21,,16.00,203.22,,,Yes,18.00,197.13,Yes,9,83.39,M,Yes,WA1,WA,9,,11/18/2022,12/2/22,12/4/22,12/6/2022,12/15/2022,
103,26,,12.00,182.51,,13.00,174.11,,,Yes,14.00,163.09,Yes,11,57.1,F,No,WA1,WA,10,,11/18/2022,11/30/22,12/1/22,12/2/2022,12/13/2022,
104,30,,,,,,,10.00,,,,,,,,,,WA1,WA,10,,11/18/2022,,,,,11/28/22
105,34,,,,,,,5.00,,,,,,,,,,WA1,WA,10,,11/18/2022,,,,,11/23/22
106,16,,27.00,81.89,,29.00,150.08,35.00,,No,35.00,170.89,No,,,,,WA1,WA,11,170.89,11/18/2022,12/15/22,12/17/22,12/23/2022,,12/23/2022
107,21,,10.00,37.6,,13.00,163.81,19.00,,No,19.00,149.88,No,,,,,WA1,WA,7,149.88,11/19/2022,11/29/22,12/2/22,12/8/2022,,12/8/2022
108,26,,8.00,71.51,,10.00,197.28,,,Yes,11.00,181.51,Yes,8,64.16,M,Yes,WA1,WA,7,,11/19/2022,11/27/22,11/29/22,11/30/2022,12/8/2022,
109,30,,,,,,,9.00,,,,,,,,,,WA1,WA,5,,11/19/2022,,,,,11/28/22
110,34,,,,,,,2.00,,,,,,,,,,WA1,WA,10,,11/20/2022,,,,,11/22/22
1001,16,,26.00,85.44,,30.00,152.98,42.00,,Yes,33.00,151.18,No,,,,,WA2,WA,47,,11/30/2022,12/26/2022,12/30/2022,1/2/23,,1/11/23
1002,21,,17.00,76.27,,19.00,171.52,,,Yes,21.00,160.11,Yes,9.00,71.3,F,Yes,WA2,WA,47,,11/30/2022,12/17/2022,12/19/2022,12/21/22,12/30/2022,
1003,26,,12.00,176.23,,13.00,199.27,,,Yes,14.00,178.26,Yes,7.00,80.66,M,Yes,WA2,WA,48,,11/30/2022,12/12/2022,12/13/2022,12/14/22,12/21/2022,
1004,30,,8.00,105.22,,10.00,132.6,,,Yes,11.00,118.37,Yes,7.00,57.54,M,Yes,WA2,WA,39,,11/30/2022,12/8/2022,12/10/2022,12/11/22,12/18/2022,
1005,34,,10.00,42.68,,13.00,132.31,26.00,,Yes,14.00,121.77,No,,,,,WA2,WA,39,,11/30/2022,12/10/2022,12/13/2022,12/14/22,,12/26/22
1006,16,,25.00,113.6,,27.00,228.07,61.00,,Yes,33.00,200.46,No,,,,,WA2,WA,43,,11/30/2022,12/25/2022,12/27/2022,1/2/23,,1/30/23
1007,21,,19.00,55.1,,22.00,229.83,,,Yes,24.00,211.7,Yes,9.00,105.38,M,Yes,WA2,WA,30,,11/30/2022,12/19/2022,12/22/2022,12/24/22,1/2/2023,
1008,26,,,,,,,4.00,,,,,,,,,,WA2,WA,31,,11/30/2022,,,,,12/4/22
1009,30,,15.00,97.58,,17.00,183.93,,,Yes,18.00,160.17,Yes,6.00,80.77,F,Yes,WA2,WA,31,,11/30/2022,12/15/2022,12/17/2022,12/18/22,12/24/2022,
1010,34,,10.00,39.7,,13.00,120.22,,,Yes,14.00,126.16,Yes,8.00,79.41,M,No,WA2,WA,25,,11/30/2022,12/10/2022,12/13/2022,12/14/22,12/22/2022,
1011,16,,24.00,130.35,,27.00,219.71,,,Yes,30.00,187.19,Yes,17.00,72.38,M,Yes,WA2,WA,25,,11/30/2022,12/24/2022,12/27/2022,12/30/22,1/16/2023,
