CID,Mean.temp,Date.hatch,Date.3rd,Surv.4th,Date.4th,Time.4th,Mass.4th,Surv.5th,Date.5th,Time.5th,Mass.5th,Surv.pupa,Date.pupa,Time.pupa,Mass.pupa,Pupate.ok,Surv.eclose,Date.eclose,Time.eclose,Mass.adult,Sex,Eclose.ok,Date.dead,Notes
085,34,6/20/2023,6/24/2023,,6/26/2023,6.00,7.74,,6/28/2023,8.00,31.02,,7/3/2023,13.00,113.16,yes,,,,,,,7/13/2023,died as pupa
086,34,6/20/2023,6/24/2023,,6/26/2023,6.00,7.78,,7/3/2023,13.00,25.46,,,,,,,,,,,,7/6/2023,
087,34,6/20/2023,6/24/2023,,6/26/2023,6.00,7.97,,6/29/2023,9.00,30.62,,7/5/2023,15.00,80.95,yes,,,,,,,7/13/2023,died as pupa
088,30,6/20/2023,6/24/2023,,6/25/2023,5.00,10.9,,6/28/2023,8.00,100.3,,7/1/2023,11.00,170.13,yes,,7/8/2023,18.00,86.74,male,yes,,
089,30,6/20/2023,6/24/2023,,6/25/2023,5.00,10.48,,6/27/2023,7.00,40.18,,6/30/2023,10.00,154.76,yes,,7/7/2023,17.00,88.22,female,yes,,
090,30,6/20/2023,6/24/2023,,6/26/2023,6.00,10.87,,6/28/2023,8.00,44.68,,7/4/23,14.00,165.6,no,,,,,,,,INT
091,30,6/20/2023,6/24/2023,,6/26/2023,6.00,9.27,,6/28/2023,8.00,40.96,,7/2/2023,12.00,165.39,yes,,,,,,,7/15/2023,died as pupa
092,30,6/20/2023,6/24/2023,,6/26/2023,6.00,9.7,,6/28/2023,8.00,34.92,,7/2/2023,12.00,174.78,yes,,,,,,,7/11/2023,died as pupa
093,30,6/20/2023,6/24/2023,,6/26/2023,6.00,26.9,,6/28/2023,8.00,71.73,,7/1/2023,11.00,175.94,yes,,7/8/2023,18.00,85.66,male,yes,,
094,30,6/20/2023,6/24/2023,,6/26/2023,6.00,12.13,,6/28/2023,8.00,45.85,,7/2/2023,12.00,174.64,yes,,7/9/2023,19.00,85.04,male,yes,,
095,30,6/20/2023,6/24/2023,,6/26/2023,6.00,6.35,,,,,,,,,,,,,,,,6/27/2023,
096,26,6/20/2023,6/24/2023,,6/27/2023,7.00,10.02,,6/30/2023,10.00,62.86,,7/5/2023,15.00,187.01,yes,,7/13/2023,23.00,91.16,male,yes,,
097,26,6/20/2023,6/24/2023,,6/26/2023,6.00,10.02,,6/30/2023,10.00,50.65,,7/4/2023,14.00,204.38,yes,,7/12/2023,22.00,97.92,male,yes,,
098,26,6/20/2023,6/24/2023,,6/26/2023,6.00,11.67,,,,,,,,,,,,,,,,6/28/2023,
099,26,6/20/2023,6/24/2023,,6/26/2023,6.00,10.05,,6/29/2023,9.00,34.78,,7/4/2023,14.00,178.35,yes,,7/12/2023,22.00,91.51,female,no,,deformed wings
100,26,6/20/2023,6/24/2023,,6/26/2023,6.00,11.46,,6/29/2023,9.00,41.92,,7/4/2023,14.00,233.31,yes,,7/12/2023,22.00,125.06,male,yes,,
101,26,6/20/2023,6/24/2023,,6/26/2023,6.00,11.32,,6/29/2023,9.00,35.27,,7/4/2023,14.00,166.79,yes,,7/12/2023,22.00,87.9,female,yes,,
102,26,6/20/2023,6/24/2023,,6/26/2023,6.00,13.36,,6/29/2023,9.00,89.52,,7/3/2023,13.00,212.55,yes,,7/10/2023,20.00,98.52,male,yes,,
103,26,6/20/2023,6/24/2023,,6/26/2023,6.00,11.38,,6/29/2023,9.00,28.84,,7/5/2023,15.00,177.65,yes,,7/13/2023,23.00,77.92,male,yes,,
104,26,6/19/2023,6/24/2023,,6/26/2023,7.00,17.49,,6/29/2023,10.00,29.22,,7/4/2023,15.00,169.18,yes,,7/11/2023,22.00,76.3,female,yes,,
105,26,6/19/2023,6/24/2023,,6/27/2023,8.00,9.33,,6/30/2023,11.00,58.32,,7/4/2023,15.00,171.1,yes,,7/11/2023,22.00,82.25,female,yes,,
106,26,6/19/2023,6/24/2023,,6/26/2023,7.00,15.41,,,,,,,,,,,,,,,,6/28/2023,
107,26,6/19/2023,6/24/2023,,6/26/2023,7.00,18.35,,6/29/2023,10.00,42.08,,7/4/2023,15.00,164.11,yes,,7/12/2023,23.00,78.09,male,yes,,
108,21,6/19/2023,6/24/2023,,6/27/2023,8.00,11.62,,7/1/2023,12.00,39.57,,7/8/2023,19.00,186.48,yes,,7/20/2023,31.00,99.59,female,yes,,
109,21,6/19/2023,6/24/2023,,6/26/2023,7.00,12.66,,6/30/2023,11.00,36.05,,7/7/2023,18.00,168.92,yes,,7/21/2023,32.00,146.7,,no,,
110,34,6/21/2023,6/25/2023,,6/27/2023,6.00,10.19,,6/30/2023,9.00,44.61,,7/6/2023,15.00,85.04,no,,,,,,,7/6/2023,INT
111,34,6/22/2023,6/25/2023,,6/27/2023,5.00,8.38,,6/29/2023,7.00,35.18,,7/3/2023,11.00,119.82,yes,,,,,,,7/11/2023,died as pupa
112,34,6/21/2023,6/25/2023,,6/27/2023,6.00,7.49,,6/30/2023,9.00,34.67,,7/5/2023,14.00,96.68,yes,,,,,,,7/12/2023,died trying to eclose
113,34,6/19/2023,6/25/2023,,6/27/2023,8.00,8.59,,6/30/2023,11.00,39.12,,,,,,,,,,,,7/8/2023,
114,34,6/20/2023,6/25/2023,,6/27/2023,7.00,6.95,,6/30/2023,10.00,35.05,,,,,,,,,,,,7/13/2023,diseased
115,30,6/22/2023,6/25/2023,,6/27/2023,5.00,5.58,,6/29/2023,7.00,35.42,,7/3/2023,11.00,156.47,yes,,7/10/2023,18.00,79.09,female,yes,,
116,30,6/21/2023,6/25/2023,,6/27/2023,6.00,7.71,,6/29/2023,8.00,35.57,,7/3/2023,12.00,164.85,yes,,7/10/2023,19.00,72.03,male,no,,
117,30,6/21/2023,6/25/2023,,6/27/2023,6.00,7.93,,6/30/2023,9.00,41.78,,7/5/2023,14.00,181.52,yes,,7/11/2023,20.00,97.05,male,yes,,
118,30,6/21/2023,6/25/2023,,6/27/2023,6.00,9.72,,6/30/2023,9.00,56.1,,7/5/2023,14.00,169.29,yes,,7/10/2023,19.00,97.85,female,no,,INT
119,30,6/21/2023,6/25/2023,,6/27/2023,6.00,10.55,,6/29/2023,8.00,36.11,,7/3/2023,12.00,177.76,yes,,7/9/2023,18.00,113.24,female,yes,,
120,26,6/19/2023,6/25/2023,,6/27/2023,8.00,19.26,,6/30/2023,11.00,66.56,,7/6/2023,17.00,153.8,no,,,,,,,7/8/2023,INT
121,26,6/19/2023,6/25/2023,,6/27/2023,8.00,11.25,,,,,,,,,,,,,,,,6/28/2023,
122,26,6/21/2023,6/25/2023,,6/28/2023,7.00,8.61,,7/1/2023,10.00,34.77,,,,,,,,,,,,7/8/2023,Weird disease...
123,26,6/21/2023,6/25/2023,,6/28/2023,7.00,12.25,,6/30/2023,9.00,32.32,,7/6/2023,15.00,157.44,no,,,,,,,7/6/2023,INT
124,26,6/21/2023,6/25/2023,,6/27/2023,6.00,8.55,,6/30/2023,9.00,38.01,,7/4/2023,13.00,146.23,no,,,,,,,7/4/2023,INT
125,26,6/21/2023,6/25/2023,,6/28/2023,7.00,8.49,,7/1/2023,10.00,34.25,,7/7/2023,16.00,170.02,yes,,7/14/2023,23.00,74.32,female,yes,,
126,21,6/20/2023,6/25/2023,,6/28/2023,8.00,13.48,,7/2/23,12.00,54.46,,7/9/2023,19.00,218.47,yes,,7/20/2023,30.00,112.97,male,yes,,
127,21,6/20/2023,6/25/2023,,6/28/2023,8.00,8.78,,7/2/2023,12.00,52.7,,7/10/2023,20.00,217.75,yes,,,,,,no,7/28/2023,died as pupa
128,21,6/20/2023,6/25/2023,,6/28/2023,8.00,13.92,,7/1/2023,11.00,39.92,,7/10/2023,20.00,147.5,yes,,7/23/2023,33.00,51.52,female,yes,,
129,21,6/20/2023,6/25/2023,,6/28/2023,8.00,11.94,,7/2/23,12.00,49.97,,7/10/2023,20.00,166.12,no,,,,,,,,INT
130,21,6/19/2023,6/25/2023,,6/29/2023,10.00,10.51,,7/3/2023,14.00,51.54,,7/11/2023,22.00,240.31,no,,,,,,,7/11/2023,INT
131,21,6/19/2023,6/25/2023,,6/28/2023,9.00,13.74,,7/1/2023,12.00,46.97,,7/8/2023,19.00,197.77,yes,,7/20/2023,31.00,103.18,female,yes,,
132,21,6/19/2023,6/25/2023,,6/29/2023,10.00,20.28,,7/3/2023,14.00,70.2,,7/9/2023,20.00,201.75,yes,,7/20/2023,31.00,103.38,female,yes,,
133,21,6/19/2023,6/25/2023,,6/28/2023,9.00,13.89,,7/3/2023,14.00,36.54,,7/11/2023,22.00,174.55,no,,,,,,,7/11/2023,INT
134,21,6/19/2023,6/25/2023,,6/28/2023,9.00,9.25,,7/3/2023,14.00,48.54,,7/10/2023,21.00,209.07,yes,,7/21/2023,32.00,111.9,male,yes,,
135,21,6/19/2023,6/25/2023,,6/28/2023,9.00,15.2,,7/2/23,13.00,85.81,,7/9/2023,20.00,243.09,no,,,,,,,7/9/2023,INT
136,21,6/19/2023,6/25/2023,,6/28/2023,9.00,11.01,,7/3/2023,14.00,49.78,,7/10/2023,21.00,167.23,yes,,,,,,,7/31/2023,died as pupa
137,21,6/19/2023,6/25/2023,,6/28/2023,9.00,10.97,,7/2/23,13.00,72.53,,7/9/2023,20.00,204.05,yes,,7/20/2023,31.00,136.05,female,yes,,
138,21,6/19/2023,6/25/2023,,6/28/2023,9.00,9.41,,7/3/2023,14.00,50.74,,7/10/2023,21.00,199.72,yes,,7/20/2023,31.00,104.33,male,yes,,
